City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Luderitz,NA,2022-02-01 13:21:54,-26.6481,15.1594,71.1,75,67,12.01
165,Rokiskis,LT,2022-02-01 13:29:57,55.9667,25.5833,25.84,89,100,8.23
166,Hasaki,JP,2022-02-01 13:29:57,35.7333,140.8333,36.0,48,1,15.39
167,Jamsa,FI,2022-02-01 13:29:57,61.8642,25.19,20.71,93,100,3.24
168,Gallup,US,2022-02-01 13:29:58,35.5281,-108.7426,31.01,60,0,0.0
169,Acajutla,SV,2022-02-01 13:29:58,13.5928,-89.8275,73.8,70,7,3.85
170,Oktyabrskiy,RU,2022-02-01 13:29:58,54.4815,53.471,29.7,91,100,15.48
171,Areosa,PT,2022-02-01 13:29:59,41.7178,-8.8571,62.31,49,3,2.8
172,Aykhal,RU,2022-02-01 13:29:59,66.0,111.5,-24.21,100,17,3.71
173,Grand Gaube,MU,2022-02-01 13:29:59,-20.0064,57.6608,79.38,85,85,8.01
174,Constitucion,CL,2022-02-01 13:30:00,-35.3333,-72.4167,65.75,55,6,4.41
175,Platanos,GR,2022-02-01 13:30:00,37.6667,21.6167,56.08,83,98,15.1
176,Garmsar,IR,2022-02-01 13:30:01,35.2182,52.3409,42.96,69,97,12.26
177,Itoman,JP,2022-02-01 13:30:01,26.1247,127.6694,64.42,68,75,11.5
178,Namibe,AO,2022-02-01 13:30:02,-15.1961,12.1522,84.83,51,0,20.71
179,Burnie,AU,2022-02-01 13:30:04,-41.0667,145.9167,57.92,70,18,15.21
180,Grand-Bourg,GP,2022-02-01 13:30:05,15.8835,-61.3148,78.75,76,39,12.77
181,Saint Pete Beach,US,2022-02-01 13:30:06,27.7253,-82.7412,55.4,74,0,1.99
182,Manyana,BW,2022-02-01 13:30:07,-23.4,21.7167,81.82,51,84,17.18
183,Riverton,US,2022-02-01 13:30:08,40.5219,-111.9391,26.37,64,0,1.99
184,Abiramam,IN,2022-02-01 13:31:08,9.4667,78.45,87.12,68,51,15.55
185,Whyalla,AU,2022-02-01 13:31:08,-33.0333,137.5833,64.29,63,100,20.71
186,Balkhash,KZ,2022-02-01 13:31:08,46.844,74.9804,10.9,85,20,9.95
187,Mount Gambier,AU,2022-02-01 13:31:09,-37.8333,140.7667,53.51,62,40,13.8
188,Kapaa,US,2022-02-01 13:31:09,22.0752,-159.319,67.98,100,20,8.05
189,Ginda,IN,2022-02-01 13:31:09,30.6945,78.4932,39.33,53,0,5.32
190,San Quintin,MX,2022-02-01 13:31:10,30.4833,-115.95,55.31,84,100,7.25
191,Coahuayana,MX,2022-02-01 13:31:10,18.7333,-103.6833,74.68,64,0,3.83
192,Chengam,IN,2022-02-01 13:31:10,12.3,78.8,77.81,62,81,8.9
193,Hauterive,FR,2022-02-01 13:31:11,46.0901,3.4459,45.36,95,100,5.21
194,Lima,PE,2022-02-01 13:31:11,-12.0432,-77.0282,72.39,62,40,5.75
195,Anadyr,RU,2022-02-01 13:31:11,64.75,177.4833,18.1,73,20,40.26
196,Darnah,LY,2022-02-01 13:31:12,32.767,22.6367,60.17,51,100,23.58
197,Belyy Yar,RU,2022-02-01 13:31:12,53.6039,91.3903,-9.51,84,100,2.24
198,Geraldton,AU,2022-02-01 13:31:12,-28.7667,114.6,77.41,73,96,10.36
199,Yakhroma,RU,2022-02-01 13:31:13,56.3,37.4833,29.05,95,100,9.01
200,Nadvoitsy,RU,2022-02-01 13:31:13,63.8667,34.3167,12.72,95,100,8.05
201,Troitskoye,RU,2022-02-01 13:31:13,52.9821,84.6757,3.9,97,55,3.18
202,Pangnirtung,CA,2022-02-01 13:31:14,66.1451,-65.7125,-25.6,68,0,3.44
203,Pinehurst,US,2022-02-01 13:31:14,35.1954,-79.4695,33.96,85,0,4.61
204,Portland,US,2022-02-01 13:31:14,45.5234,-122.6762,39.16,94,40,5.99
205,Venado Tuerto,AR,2022-02-01 13:23:00,-33.7456,-61.9688,74.79,35,0,13.22
206,Talnakh,RU,2022-02-01 13:21:55,69.4865,88.3972,4.21,96,100,9.26
207,Iqaluit,CA,2022-02-01 13:23:07,63.7506,-68.5145,-29.31,73,40,1.99
208,Minyar,RU,2022-02-01 13:31:15,55.0709,57.5485,26.67,94,100,3.31
209,Krasnoselkup,RU,2022-02-01 13:31:15,65.7,82.4667,6.24,96,99,8.25
210,Koltubanovskiy,RU,2022-02-01 13:31:16,52.9407,52.0269,31.51,89,100,12.73
211,Touros,BR,2022-02-01 13:31:16,-5.1989,-35.4608,86.9,60,5,14.2
212,Kaifeng,CN,2022-02-01 13:31:16,34.7911,114.3483,36.46,30,100,2.59
