City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
282,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
283,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
286,Ponta Do Sol,PT,73.13,clear sky,32.6667,-17.1,Hotel do Campo
291,Georgetown,MY,80.89,light rain,5.4112,100.3354,Cititel Penang
292,Colesberg,ZA,79.07,scattered clouds,-30.72,25.0972,Bhelekazi Guesthouse
295,Ranong,TH,75.63,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
296,Vilhena,BR,82.62,scattered clouds,-12.7406,-60.1458,Hotel Mirage
300,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
304,Hadejia,NG,78.75,clear sky,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
317,Tibiri,NE,79.14,dust,13.5627,7.0485,FADA GAO FA TIBIRI
323,Sambava,MG,76.57,light rain,-14.2667,50.1667,Melrose
324,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
331,Negombo,LK,80.65,clear sky,7.2083,79.8358,Hotel Sunset Beach
334,Pasni,PK,72.14,few clouds,25.2631,63.471,Kashmiri Hotal
335,Conceicao Do Castelo,BR,76.84,overcast clouds,-20.3683,-41.2439,Pousada Rota do Imperador
336,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
342,Neiafu,TO,77.68,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
343,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
346,Belmonte,BR,81.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
355,Muscat,OM,75.22,few clouds,23.6139,58.5922,Mutrah Hotel
356,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
